TrainCase,TestCase,Seed,Protocol,Epochs,Nodes,Edges,TP,FP,FN,TN,Precision,Recall,F1,F2,FAR100,FARswitch100,AUROC,AUPRC,EventRecall,MeanDelay,Top3LocalizationHitRate,SourceNodes,SourceEdges,TargetNodes,TargetEdges
case14,case14,7,within_case,4,14.0,40.0,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
case30,case30,7,within_case,4,30.0,82.0,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
case39,case39,7,within_case,4,39.0,92.0,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
case57,case57,7,within_case,4,57.0,160.0,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
case118,case118,7,within_case,4,118.0,372.0,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,,,,
case39,case14,7,source_to_target_calibrated,4,,,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,39.0,92.0,14.0,40.0
case39,case30,7,source_to_target_calibrated,4,,,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,39.0,92.0,30.0,82.0
case39,case57,7,source_to_target_calibrated,4,,,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,39.0,92.0,57.0,160.0
case39,case118,7,source_to_target_calibrated,4,,,36,0,0,115,0.9999999999722223,0.9999999999722223,0.9999999994722224,0.9999999997722224,0.0,0.0,1.0,1.0,1.0,0.0,1.0,39.0,92.0,118.0,372.0
